id,name,title,content,open_hour,regular_holiday,telephone,address,nearest_station,capacity,private_room,wifi,power_supply,genre_id,area_id
1,カフェ ミンク,ドリンク類安し。店内は広く、充電したり手軽な息抜きに最適なカフェ,ドリンク類安し。店内は広く、充電したり手軽な息抜きに最適なカフェ,7:00~23:00,不定休,06-6344-5636,大阪府大阪市北区梅田１丁目１−３ 大阪駅前第3ビル B1F,東梅田駅,80席,無,無,有,1,1
2,ザ・ラボ　カフェラボ グランフロント大阪店 （The Lab）,未来感が漂う新しいスタイルのカフェ,大阪駅直結グランフロント大阪の１階にあるカフェ。８時から営業しているのでモーニングとしても利用できる。ソファ席が多いのでゆっくりくつろぐことができる。wi-fi完備で電源もあるので、ちょっとした作業をしたり充電したりすることができる。,8:00~23:00,年中無休,06-6372-6441,大阪府大阪市北区大深町３−１ グランフロント大阪北館 １階,JR大阪駅,99席,無,有,有,1,1
3,WIRED CAFE ルクア大阪店,落ち着いた印象でデートにはもってこいのルクア7階にあるカフェ,大阪府大阪駅近辺にある喫茶店「ワイアードカフェ ルクア大阪。」落ち着いた印象でデートにはもってこいの喫茶店。店内は分煙されており、スペースは限られるが喫煙者でも安心して入店することが出来る。テラス席も用意させている。,10:30~22:00,無休,06-6151-1329,大阪府大阪市北区梅田３丁目１−３ 7F LUCUA,JR大阪駅,112席,無,有,有,1,1
4,ALFRED TEA ROOM 梅田 蔦屋書店,カジュアルにお楽しみいただけるティーメニュー,LA発のティーブランド。ミレニアルピンクのデザインと共に、ミルクティーをはじめ世界中からセレクトしたティーメニューをご用意し、自由に「お茶」を楽しむスタイルを提案いたします。,7:00~23:00,ルクアイーレに準ずる,06-4799-1417,大阪府大阪市北区梅田３丁目１−３ ルクアイーレ 9Ｆ,JR大阪駅,席,無,有,無,1,1
5,Saturdays NYC Osaka,クロワッサンとティー共に美味、大阪のオシャレエリアに佇むカフェ,四ツ橋駅から徒歩で3分、心斎橋駅から徒歩で4分と言う好立地で、待ち合わせスポットとしても重宝すると話題のカフェです。店名が物語っている通り、サーフボードショップが併設されたカフェと言う事もあり、気持ちよい風が流れているような開放的な雰囲気がたまらないと言うファンも多いです。手の込んだパンがどれも絶品と人気です。,9:00~22:00,無休,06-4963-3711,大阪府大阪市中央区南船場４丁目１３−２２,四ツ橋駅,20席,無,無,無,1,2
6,アジアンティー一茶,Wi-Fi・電源も使えるアジアンカフェ,中国茶や中国粥が食べられる、Wi-Fi・電源も使えるアジアンカフェ,9:00~22:00,不定休,06-6241-1101,大阪府大阪市中央区心斎橋1-6-14,心斎橋駅,40席,無,無,無,1,2
7,カフェ TABLES CAFE タブレスカフェ 心斎橋 店,落ち着いた雰囲気のある綺麗なお店,心斎橋のクロスホテル大阪の中にある可愛らしいカフェです。落ち着いた雰囲気のある綺麗なお店で、ソファでゆったり落ち着ける「タブレスカフェ」カップケーキやマカロンがウリだたのだけど、最近流行りのパンケーキも始めてます。、コーヒーお代わりできるので、ハチミツとフルーツやブルーベリーのパンケーキはお勧めです。,11:00~20:00,無休,06-6214-2001,大阪府大阪市中央区心斎橋筋２丁目５−１５ クロスホテル大阪 1F,心斎橋駅,67席,無,有,無,1,2
8,サンマルクカフェ 南海天王寺店,リラックスできる素敵なカフェ,名物のクロワッサンはサクサクがたまらない、リラックスできる素敵なカフェ,8:00~22:00,不定休,06-6774-4309,大阪府大阪市天王寺区悲田院町１０−４８ ミオプラザ館中 2F,JR天王寺駅,96席,無,有,無,1,3
9,スターバックスコーヒー 天王寺ミオ本館8階店,気軽に立ち寄れるスターバックスコーヒー,天王寺ミオ内にあって気軽に立ち寄れるスターバックスコーヒー,11:00~21:00,不定休,06-6776-7036,大阪府大阪市天王寺区悲田院町１０−３９ 天王,天王寺駅,52席,無,有,有,1,3
10,カフェ＆バー・デュール（Ｃａｆｅ＆ＢａｒＤｅｕｒ）,新大阪駅からすぐのカフェ,大阪市淀川区にある新大阪駅からすぐのカフェ,7:00～22:30,不定休,06-4805-7255,大阪府大阪市淀川区西中島５丁目１６−１,新大阪駅,36席,無,無,無,1,4
11,The Otherside Coffee,大きな窓と高い天井が開放的な駅近カフェ,珈琲専門店「ヘブンズ・カフェ」は、厳選した豆をこだわりの方法で淹れてくれます。最新のエスプレッソマシンを採用し、一杯一杯バリスタが淹れるこだわりも。店名にちなみ、天使の羽がついた大きなマグカップにたっぷりといれてくれます。また、日替わりランチセットやスウィーツなど、フードメニューも充実していることも魅力。観葉植物が並び、都会のオアシスのように開放感あふれる店内。そこで一際目を引くグランドピアノでライブやイベントが開催されることもあり、珈琲の香りに包まれながらゆっくりとした時間を過ごすことができます。,11:00～21:30,不定休,06-7505-8721,大阪府大阪市淀川区西中島２丁目１５−１２ カジサンビル 2F,西中島南方駅,48席,有,有,有,1,4
12,Drip-X-Cafe,内観が人気となっているカフェ,新大阪駅構内でカジュアルな内観が人気となっているカフェ,6:30~22:00,なし,06-6885-0512,大阪府大阪市淀川区西中島５丁目１６−１,新大阪駅,74席,無,無,無,1,4
13,モンディアルカフェ 328,お洒落な雰囲気のカフェ,海外の街角で見かけるようなお洒落な雰囲気のカフェ,8:30〜21:00,不定休,050-5571-5159,大阪府大阪市西区北堀江１丁目６−１６,四ツ橋駅,41席,無,有,有,1,5
14,お一人席喫茶店 coro,勉強したい時や読書したい時にぴったりのお店,勉強したい時や読書したい時にぴったりのお店,15:00～21:15,水、木、金,非公開,大阪府大阪市中央区日本橋２丁目１７−１１,近鉄日本橋駅,6席,有,無,無,1,5
15,チャシツ ジャパニーズ ティー＆コーヒー / CHASHITSU Japane,本も読める不思議なカフェ,抹茶の最中アイスの最中がパリパリで美味しい！本も読める不思議なカフェ,11:00～18:00,第2火曜日,06-6147-3286,大阪府大阪市西区靱本町１丁目１６−１４ HELLO life 1F,本町駅,15席,無,有,有,1,5
16,スターバックスコーヒー 堺フェニックス通り 利晶の杜店,お洒落なカフェ,オープンテラスやドライブスルーもついたかなりお洒落なカフェ,7:00～24:00,不定休,072-282-7680,大阪府堺市堺区宿院町西２丁１−４１,堺駅,76席,無,有,有,1,6
17,アカリ珈琲,灯りとアンティークの家具がとてもレトロなカフェ,築80年以上の長屋を改装したカフェ。元照明職人の店主の灯りとアンティークの家具がとてもレトロで落ち着きます。優しい口当たりて後から香りが広がる珈琲は、珈琲が苦手な方にも飲みやすくオススメです。ランチやデザートもあり、のんびりしたいときに最高です。,11:00～22:00,月曜日　火曜日,072-229-3545,大阪府堺市堺区南島町２丁５９,七道駅,席,無,無,無,1,6
